"","Provider_Name","Difference","Percent"
"311",6035,-0.00288,"-8.72%"
"312",6052,-0.004925,"-15.34%"
"313",6053,-0.01249,"-100%"
"314",6062,-0.01034,"-100%"
"315",6066,-0.02591,"-70.97%"
"316",6067,-0.00132333333333333,"-18.61%"
"317",6070,-0.009465,"-43.62%"
"318",6076,0.00082,"5.39%"
"319",6078,0.00486,"24.46%"
"320",6082,-0.00234666666666667,"-17.65%"
"321",6084,-0.00167,"-17.56%"
"322",6095,-0.00786,"-35.18%"
"323",6096,-0.0176,"-56.12%"
"324",6105,-0.00502,"-100%"
"325",6106,-0.00222,"-14.47%"
"326",6107,0.01522,"79.39%"
"327",6108,0.01338,"54.88%"
"328",6111,-0.00639,"-35.8%"
"329",6114,-0.00177,"-6.46%"
"330",6117,-0.00203,"-33.33%"
"331",6118,-0.01313,"-22.1%"
"332",6119,-0.00537,"-100%"
"333",6239,-0.00682,"-28.98%"
"334",6241,0.01276,"34.79%"
"335",6280,-0.001105,"-16.15%"
"336",6320,-1.33333333333339e-05,"-0.08%"
"337",6340,-0.00478,"-18.36%"
"338",6355,-0.000595000000000002,"-2.69%"
"339",6360,-0.004785,"-27.62%"
"340",6374,-0.0146,"-67.45%"
"341",6382,-0.01838,"-68.81%"
"342",6385,-0.00666,"-61.57%"
"343",6410,-0.019025,"-50.52%"
"344",6415,0.02029,"347.73%"
"345",6416,0.000189999999999999,"3.12%"
"346",6418,-0.00143,"-8.07%"
"347",6430,-0.000609999999999999,"-2.75%"
"348",6432,-0.00107,"-6.75%"
"349",6447,0.01065,"58.65%"
"350",6450,-0.00115,"-15.98%"
"351",6457,-0.007405,"-50.63%"
"352",6460,0.00438,"27.73%"
"353",6470,0.01835,"140.4%"
"354",6477,-0.000880000000000002,"-2.84%"
"355",6479,-0.00722,"-43.04%"
"356",6480,-0.00214,"-7.12%"
"357",6483,-0.00223,"-9.44%"
"358",6484,3.00000000000001e-05,"1.22%"
"359",6488,-0.001535,"-22.91%"
"360",6489,-0.01475,"-63.14%"
"361",6492,0.006065,"223.8%"
"362",6512,-0.01318,"-100%"
"363",6513,0.006115,"43%"
"364",6514,-0.01403,"-70.61%"
"365",6516,-0.010615,"-100%"
"366",6518,0.00235,"7.49%"
"367",6519,-0.00519,"-10.64%"
"368",6525,-0.04068,"-54.37%"
"369",6604,0.002495,"26.26%"
"370",6606,0.00381,"37.8%"
"371",6610,0.007,"31%"
"372",6611,0.00343,"24.93%"
"373",6614,0.00111,"6.17%"
"374",6702,-0.01578,"-46.34%"
"375",6705,0.0059675,"74.52%"
"376",6708,-0.00962,"-100%"
"377",6710,-0.009685,"-100%"
"378",6716,0.00175,"8.14%"
"379",6762,-0.01952,"-36.22%"
"380",6770,-0.0021,"-7.91%"
"381",6776,-0.00553,"-47%"
"382",6790,0.00713,"72.64%"
"383",6801,-0.00218,"-6.11%"
"384",6810,0.000992,"15.17%"
"385",6825,-0.0148,"-45.04%"
"386",6830,-0.00415,"-27.2%"
"387",6831,0.01081,"73.26%"
"388",6851,-0.000269999999999999,"-2.41%"
"389",6877,-0.0064,"-21.98%"
"390",6880,-0.000110000000000002,"-0.43%"
"391",6896,-0.02413,"-100%"
"392",6897,-0.00337,"-53.03%"
"393",6902,-0.000757499999999999,"-15.68%"
"394",6903,-0.00648,"-100%"
"395",7003,0.00275,"9.05%"
"396",7005,-0.00178,"-6.75%"
"397",7006,0.00447,"52.9%"
"398",7009,0.004888,"46.87%"
"399",7011,-0.00915,"-39.96%"
"400",7016,-0.0054,"-15.59%"
"401",7017,0.00541666666666667,"26.54%"
"402",7018,-0.00152,"-6.34%"
"403",7032,-0.02789,"-100%"
"404",7035,-0.00506,"-16.61%"
"405",7036,-0.00563,"-27.86%"
"406",7039,-0.00168,"-13.49%"
"407",7047,3.49999999999994e-05,"0.46%"
"408",7050,-0.008885,"-44.02%"
"409",7052,0.002766,"12.56%"
"410",7054,0.004575,"43.41%"
"411",7060,-0.00318,"-35.65%"
"412",7065,0.00353,"84.75%"
"413",7076,-0.01596,"-52.97%"
"414",7080,-0.00125,"-13.98%"
"415",7083,-0.0018,"-15.2%"
"416",7087,0.002655,"19.14%"
"417",7088,0.01029,"198.65%"
"418",7090,-0.00875,"-64.91%"
"419",7092,-0.00022,"-5.49%"
"420",7093,-0.01086,"-100%"
"421",7094,-7e-04,"-10.9%"
"422",7095,-0.01218,"-48.12%"
"423",7103,0.00247,"20.71%"
"424",7104,0.000823333333333336,"7.37%"
"425",7111,-0.00556,"-56.5%"
"426",7202,-0.00544333333333333,"-33.05%"
"427",7206,0.01183,"52.93%"
